Time	CoilOperation
2022/03/14 12:09:23	ON
2022/03/14 12:09:23	OFF
2022/03/14 12:09:31	ON
2022/03/14 12:10:53	OFF
2022/03/14 12:12:57	OFF
2022/03/14 12:12:57	ON
2022/03/14 12:12:58	ON
2022/03/14 14:07:42	OFF
2022/03/14 14:07:45	ON
2022/03/14 15:40:46	OFF
2022/03/14 15:40:49	ON
2022/03/14 15:52:11	OFF
2022/03/14 15:52:16	ON
2022/03/14 16:03:22	OFF
2022/03/14 16:03:33	ON
2022/03/14 16:14:42	OFF
2022/03/14 16:14:47	ON
2022/03/14 16:25:58	OFF
2022/03/14 16:26:05	ON
2022/03/14 16:26:27	OFF
2022/03/14 16:26:35	ON
2022/03/14 16:37:17	OFF
2022/03/14 16:37:20	ON
2022/03/14 16:48:35	OFF
2022/03/14 16:48:39	ON
2022/03/14 17:00:00	OFF
2022/03/14 17:00:03	ON
2022/03/14 17:00:51	OFF
2022/03/14 17:00:52	ON
2022/03/14 17:13:30	OFF
2022/03/14 17:13:33	ON
2022/03/14 19:41:18	ON
