Model,WE7562
BlockNumber,1
BlockSize,15262              
TraceName,Time,PulseHeight
VUnit,cnt
HResolution,1.000000e+000
"HUnit",?
Date,2022/03/14
Time,10:07:54
//Comment,
//StartDate,2022/03/14
//StartTime,10:07:54
//StopDate,2022/03/14
//StopTime,12:06:51
//Input,Input2
//OperationMode,LIST
//MeasureMode,Peak
//Gain,4096
//GNDLevel,31
//10VLevel,4032
//CalResolution,1.000000e+000
//CalOffset,0.000000e+000
//PulseWidth,1.000000e-005
//LLD,500
//ULD,4031
//ErrorCheck,ON
//ROIEnabled,ON
//TriggerSource,Input2
//GateFunction,None
//TriggerOutput,None
//SignalType,Trigger
//Synchronize,OFF
//StopSource,None
//TimeResolution,1.000000e-006
//TimeStamp,Peak
//RealTime,7.136569e+003
//LiveTime,7.136410e+003
//DeadTime(%),2.233544e-003
0,553786,2463
1,865236,2855
2,2486115,2516
3,2628986,2527
4,2650471,2456
5,3415610,2482
6,3517760,2818
7,3542346,2494
8,3684523,2859
9,4526266,2459
10,5066866,2836
11,5338221,2906
12,5440440,1976
13,6134550,2752
14,6304675,2453
15,6576284,2894
16,6691706,3025
17,6693183,2477
18,6706139,2476
19,7479235,2493
20,7814858,2810
21,8421268,2451
22,8677568,2430
23,9147575,2847
24,9415096,2897
25,9839924,2429
26,11336970,2847
27,11374755,2191
28,11494922,2484
29,11531186,2801
30,13362389,2475
31,14212326,2408
32,14574726,2737
33,14702087,2476
34,15564273,2840
35,15644365,2386
36,15965292,3044
37,17135420,3104
38,17292610,2760
39,17866432,2421
40,19226017,2467
41,19494783,2442
42,19696363,2438
43,20176083,2479
44,20197137,2357
45,20439679,2696
46,20917676,2169
47,21110317,2997
48,21375601,2490
49,22239205,2860
50,22491209,2880
51,22527507,3065
52,22828352,2458
53,22976343,2411
54,23233342,2461
55,23491012,2460
56,23770971,2830
57,23802817,2408
58,24571634,2867
59,25130682,3053
60,25787303,2837
61,25860165,2835
62,26450626,2403
63,26658554,2366
64,27604523,2490
65,27978346,2434
66,28094450,2834
67,29031954,2461
68,29753435,2539
69,29899682,2256
