Model,WE7562
BlockNumber,1
BlockSize,15262              
TraceName,Time,PulseHeight
VUnit,cnt
HResolution,1.000000e+000
"HUnit",?
Date,2022/03/14
Time,10:07:54
//Comment,
//StartDate,2022/03/14
//StartTime,10:07:54
//StopDate,2022/03/14
//StopTime,12:06:51
//Input,Input2
//OperationMode,LIST
//MeasureMode,Peak
//Gain,4096
//GNDLevel,31
//10VLevel,4032
//CalResolution,1.000000e+000
//CalOffset,0.000000e+000
//PulseWidth,1.000000e-005
//LLD,500
//ULD,4031
//ErrorCheck,ON
//ROIEnabled,ON
//TriggerSource,Input2
//GateFunction,None
//TriggerOutput,None
//SignalType,Trigger
//Synchronize,OFF
//StopSource,None
//TimeResolution,1.000000e-006
//TimeStamp,Peak
//RealTime,7.136569e+003
//LiveTime,7.136410e+003
//DeadTime(%),2.233544e-003
0,553786,2463
1,865236,2855
2,2486115,2516
3,2628986,2527
4,2650471,2456
5,3415610,2482
6,3517760,2818
7,3542346,2494
8,3684523,2859
9,4526266,2459
10,5066866,2836
11,5338221,2906
12,5440440,1976
13,6134550,2752
14,6304675,2453
15,6576284,2894
16,6691706,3025
17,6693183,2477
